Site,Individual,Date,Time,Parameter_A,Parameter_B
Site_1,Site_1_Candidate_1,2025-07-12,13:15,62.5,31.2
Site_1,Site_1_Candidate_1,2025-07-12,13:30,88.18,14.41
Site_1,Site_1_Candidate_1,2025-07-12,13:45,79.27,17.73
Site_1,Site_1_Candidate_1,2025-07-12,14:00,91.73,30.68
Site_1,Site_1_Candidate_1,2025-07-12,14:15,56.34,42.83
Site_1,Site_1_Candidate_1,2025-07-12,14:30,73.44,2.99
Site_1,Site_1_Candidate_1,2025-07-12,14:45,63.24,49.47
Site_1,Site_1_Candidate_1,2025-07-12,15:00,57.98,5.13
Site_1,Site_1_Candidate_1,2025-07-12,15:15,57.2,15.07
Site_1,Site_1_Candidate_1,2025-07-12,15:30,67.4,22.01
Site_1,Site_1_Candidate_1,2025-07-12,15:45,59.27,21.15
Site_1,Site_1_Candidate_1,2025-07-12,16:00,90.59,46.08
Site_1,Site_1_Candidate_1,2025-07-12,16:15,90.86,22.0
Site_1,Site_1_Candidate_1,2025-07-12,16:30,90.81,2.56
Site_1,Site_1_Candidate_1,2025-07-12,16:45,77.49,47.07
Site_1,Site_1_Candidate_1,2025-07-12,17:00,73.28,19.68
Site_1,Site_1_Candidate_1,2025-07-12,17:15,66.76,35.28
Site_1,Site_1_Candidate_1,2025-07-12,17:30,57.51,37.39
Site_1,Site_1_Candidate_1,2025-07-11,09:00,73.1,24.55
Site_1,Site_1_Candidate_1,2025-07-11,09:15,92.33,0.18
Site_1,Site_1_Candidate_1,2025-07-11,09:30,78.88,38.96
Site_1,Site_1_Candidate_1,2025-07-11,09:45,95.68,31.13
Site_1,Site_1_Candidate_1,2025-07-11,10:00,63.79,36.86
Site_1,Site_1_Candidate_1,2025-07-11,10:15,94.76,26.45
Site_1,Site_1_Candidate_1,2025-07-11,10:30,67.64,6.14
Site_1,Site_1_Candidate_1,2025-07-11,10:45,69.35,10.59
Site_1,Site_1_Candidate_1,2025-07-11,11:00,76.49,39.81
Site_1,Site_1_Candidate_1,2025-07-11,11:15,93.94,20.82
Site_1,Site_1_Candidate_1,2025-07-11,11:30,92.84,27.37
Site_1,Site_1_Candidate_1,2025-07-11,11:45,81.71,15.61
Site_1,Site_1_Candidate_1,2025-07-11,12:00,82.92,44.29
Site_1,Site_1_Candidate_1,2025-07-11,12:15,50.0,24.87
Site_1,Site_1_Candidate_1,2025-07-11,12:30,63.13,16.97
Site_1,Site_1_Candidate_1,2025-07-11,12:45,59.73,26.57
Site_1,Site_1_Candidate_1,2025-07-11,13:00,92.8,9.45
Site_1,Site_1_Candidate_1,2025-07-11,13:15,91.03,35.7
Site_1,Site_1_Candidate_1,2025-07-11,13:30,53.3,33.62
Site_1,Site_1_Candidate_1,2025-07-11,13:45,79.4,18.61
Site_1,Site_1_Candidate_1,2025-07-11,14:00,92.49,49.79
Site_1,Site_1_Candidate_1,2025-07-11,14:15,98.61,13.13
Site_1,Site_1_Candidate_1,2025-07-11,14:30,96.82,26.69
Site_1,Site_1_Candidate_1,2025-07-11,14:45,89.16,7.64
Site_1,Site_1_Candidate_1,2025-07-11,15:00,64.02,41.53
Site_1,Site_1_Candidate_1,2025-07-11,15:15,94.91,37.06
Site_1,Site_1_Candidate_1,2025-07-11,15:30,69.52,3.08
Site_1,Site_1_Candidate_1,2025-07-11,15:45,81.73,4.81
Site_1,Site_1_Candidate_1,2025-07-11,16:00,53.03,7.27
Site_1,Site_1_Candidate_1,2025-07-11,16:15,70.71,1.28
Site_1,Site_1_Candidate_1,2025-07-11,16:30,68.03,42.32
Site_1,Site_1_Candidate_1,2025-07-11,16:45,93.3,6.49
Site_1,Site_1_Candidate_1,2025-07-11,17:00,54.15,28.59
Site_1,Site_1_Candidate_1,2025-07-11,17:15,86.31,49.28
Site_1,Site_1_Candidate_1,2025-07-11,17:30,88.43,0.52
Site_1,Site_1_Candidate_1,2025-07-10,09:00,78.55,37.53
Site_1,Site_1_Candidate_1,2025-07-10,09:15,56.86,35.62
Site_1,Site_1_Candidate_1,2025-07-10,09:30,63.02,6.73
Site_1,Site_1_Candidate_1,2025-07-10,09:45,78.75,27.8
Site_1,Site_1_Candidate_1,2025-07-10,10:00,60.85,7.81
Site_1,Site_1_Candidate_1,2025-07-10,10:15,50.97,1.02
Site_1,Site_1_Candidate_1,2025-07-10,10:30,78.2,48.33
Site_1,Site_1_Candidate_1,2025-07-10,10:45,52.75,19.38
Site_1,Site_1_Candidate_1,2025-07-10,11:00,86.52,10.47
Site_1,Site_1_Candidate_1,2025-07-10,11:15,56.56,37.13
Site_1,Site_1_Candidate_1,2025-07-10,11:30,52.74,34.86
Site_1,Site_1_Candidate_1,2025-07-10,11:45,52.26,44.66
Site_1,Site_1_Candidate_1,2025-07-10,12:00,81.25,14.49
Site_1,Site_1_Candidate_1,2025-07-10,12:15,69.01,24.62
Site_1,Site_1_Candidate_1,2025-07-10,12:30,86.39,16.45
Site_1,Site_1_Candidate_1,2025-07-10,12:45,67.46,36.62
Site_1,Site_1_Candidate_1,2025-07-10,13:00,90.04,32.5
Site_1,Site_1_Candidate_1,2025-07-10,13:15,50.01,42.32
Site_1,Site_1_Candidate_1,2025-07-10,13:30,95.67,4.0
Site_1,Site_1_Candidate_1,2025-07-10,13:45,81.69,12.04
Site_1,Site_1_Candidate_1,2025-07-10,14:00,52.55,18.25
Site_1,Site_1_Candidate_1,2025-07-10,14:15,53.65,1.9
Site_1,Site_1_Candidate_1,2025-07-10,14:30,97.26,46.93
Site_1,Site_1_Candidate_1,2025-07-10,14:45,82.92,40.91
Site_1,Site_1_Candidate_1,2025-07-10,15:00,86.73,20.62
Site_1,Site_1_Candidate_1,2025-07-10,15:15,72.27,28.14
Site_1,Site_1_Candidate_1,2025-07-10,15:30,92.25,23.98
Site_1,Site_1_Candidate_1,2025-07-10,15:45,82.52,22.51
Site_1,Site_1_Candidate_1,2025-07-10,16:00,89.62,24.07
Site_1,Site_1_Candidate_1,2025-07-10,16:15,82.27,46.55
Site_1,Site_1_Candidate_1,2025-07-10,16:30,78.53,6.54
Site_1,Site_1_Candidate_1,2025-07-10,16:45,72.16,2.19
Site_1,Site_1_Candidate_1,2025-07-10,17:00,84.26,36.88
Site_1,Site_1_Candidate_1,2025-07-10,17:15,99.21,20.71
Site_1,Site_1_Candidate_1,2025-07-10,17:30,66.12,12.74
Site_1,Site_1_Candidate_1,2025-07-09,09:00,50.15,43.66
Site_1,Site_1_Candidate_1,2025-07-09,09:15,54.53,30.99
Site_1,Site_1_Candidate_1,2025-07-09,09:30,87.4,20.08
Site_1,Site_1_Candidate_1,2025-07-09,09:45,53.73,15.22
Site_1,Site_1_Candidate_1,2025-07-09,10:00,82.52,27.89
Site_1,Site_1_Candidate_1,2025-07-09,10:15,75.69,42.95
Site_1,Site_1_Candidate_1,2025-07-09,10:30,99.33,1.44
Site_1,Site_1_Candidate_1,2025-07-09,10:45,73.38,1.27
Site_1,Site_1_Candidate_1,2025-07-09,11:00,73.78,25.81
Site_1,Site_1_Candidate_1,2025-07-09,11:15,56.53,34.13
Site_1,Site_1_Candidate_1,2025-07-09,11:30,98.8,7.38
Site_1,Site_1_Candidate_1,2025-07-09,11:45,55.08,2.46
Site_1,Site_1_Candidate_1,2025-07-09,12:00,83.55,34.03
Site_1,Site_1_Candidate_1,2025-07-09,12:15,97.33,22.27
Site_1,Site_1_Candidate_1,2025-07-09,12:30,94.33,49.64
Site_1,Site_1_Candidate_1,2025-07-09,12:45,93.73,45.11
Site_1,Site_1_Candidate_1,2025-07-09,13:00,59.57,8.97
Site_1,Site_1_Candidate_1,2025-07-09,13:15,59.77,4.24
Site_1,Site_1_Candidate_1,2025-07-09,13:30,66.54,24.9
Site_1,Site_1_Candidate_1,2025-07-09,13:45,51.4,33.58
Site_1,Site_1_Candidate_1,2025-07-09,14:00,77.75,20.73
Site_1,Site_1_Candidate_1,2025-07-09,14:15,88.69,29.56
Site_1,Site_1_Candidate_1,2025-07-09,14:30,55.17,32.37
Site_1,Site_1_Candidate_1,2025-07-09,14:45,94.07,29.04
Site_1,Site_1_Candidate_1,2025-07-09,15:00,53.84,22.81
Site_1,Site_1_Candidate_1,2025-07-09,15:15,55.59,42.24
Site_1,Site_1_Candidate_1,2025-07-09,15:30,68.48,11.68
Site_1,Site_1_Candidate_1,2025-07-09,15:45,87.8,43.84
Site_1,Site_1_Candidate_1,2025-07-09,16:00,51.08,0.13
Site_1,Site_1_Candidate_1,2025-07-09,16:15,62.12,22.43
Site_1,Site_1_Candidate_1,2025-07-09,16:30,97.8,18.89
Site_1,Site_1_Candidate_1,2025-07-09,16:45,86.51,37.68
Site_1,Site_1_Candidate_1,2025-07-09,17:00,65.76,14.92
Site_1,Site_1_Candidate_1,2025-07-09,17:15,90.14,19.8
Site_1,Site_1_Candidate_1,2025-07-09,17:30,59.02,35.85
Site_1,Site_1_Candidate_1,2025-07-08,09:00,81.37,44.39
Site_1,Site_1_Candidate_1,2025-07-08,09:15,82.68,13.33
Site_1,Site_1_Candidate_1,2025-07-08,09:30,51.39,14.02
Site_1,Site_1_Candidate_1,2025-07-08,09:45,93.31,23.8
Site_1,Site_1_Candidate_1,2025-07-08,10:00,99.71,42.36
Site_1,Site_1_Candidate_1,2025-07-08,10:15,90.4,22.66
Site_1,Site_1_Candidate_1,2025-07-08,10:30,95.48,11.13
Site_1,Site_1_Candidate_1,2025-07-08,10:45,73.77,38.27
Site_1,Site_1_Candidate_1,2025-07-08,11:00,51.34,36.95
Site_1,Site_1_Candidate_1,2025-07-08,11:15,54.19,45.74
Site_1,Site_1_Candidate_1,2025-07-08,11:30,55.49,39.25
Site_1,Site_1_Candidate_1,2025-07-08,11:45,71.61,21.85
Site_1,Site_1_Candidate_1,2025-07-08,12:00,64.61,42.97
Site_1,Site_1_Candidate_1,2025-07-08,12:15,51.51,45.48
Site_1,Site_1_Candidate_1,2025-07-08,12:30,57.91,48.54
Site_1,Site_1_Candidate_1,2025-07-08,12:45,50.8,10.15
Site_1,Site_1_Candidate_1,2025-07-08,13:00,86.31,47.08
Site_1,Site_1_Candidate_1,2025-07-08,13:15,52.33,22.65
Site_1,Site_1_Candidate_1,2025-07-08,13:30,59.02,36.22
Site_1,Site_1_Candidate_1,2025-07-08,13:45,60.53,41.05
Site_1,Site_1_Candidate_1,2025-07-08,14:00,74.73,12.6
Site_1,Site_1_Candidate_1,2025-07-08,14:15,90.31,40.9
Site_1,Site_1_Candidate_1,2025-07-08,14:30,71.02,39.52
Site_1,Site_1_Candidate_1,2025-07-08,14:45,88.21,37.04
Site_1,Site_1_Candidate_1,2025-07-08,15:00,83.16,34.6
Site_1,Site_1_Candidate_1,2025-07-08,15:15,79.63,2.36
Site_1,Site_1_Candidate_1,2025-07-08,15:30,80.68,11.34
Site_1,Site_1_Candidate_1,2025-07-08,15:45,62.72,28.79
Site_1,Site_1_Candidate_1,2025-07-08,16:00,60.95,34.61
Site_1,Site_1_Candidate_1,2025-07-08,16:15,50.29,30.05
Site_1,Site_1_Candidate_1,2025-07-08,16:30,78.68,1.89
Site_1,Site_1_Candidate_1,2025-07-08,16:45,92.3,15.78
Site_1,Site_1_Candidate_1,2025-07-08,17:00,57.89,38.82
Site_1,Site_1_Candidate_1,2025-07-08,17:15,96.08,14.39
Site_1,Site_1_Candidate_1,2025-07-08,17:30,62.29,1.83
Site_1,Site_1_Candidate_1,2025-07-07,09:00,62.49,47.85
Site_1,Site_1_Candidate_1,2025-07-07,09:15,94.01,40.17
Site_1,Site_1_Candidate_1,2025-07-07,09:30,66.71,33.07
Site_1,Site_1_Candidate_1,2025-07-07,09:45,69.08,0.49
Site_1,Site_1_Candidate_1,2025-07-07,10:00,51.68,13.52
Site_1,Site_1_Candidate_1,2025-07-07,10:15,70.88,11.57
Site_1,Site_1_Candidate_1,2025-07-07,10:30,91.9,13.91
Site_1,Site_1_Candidate_1,2025-07-07,10:45,54.77,25.64
Site_1,Site_1_Candidate_1,2025-07-07,11:00,79.57,36.65
Site_1,Site_1_Candidate_1,2025-07-07,11:15,89.37,18.33
Site_1,Site_1_Candidate_1,2025-07-07,11:30,98.8,49.57
Site_1,Site_1_Candidate_1,2025-07-07,11:45,50.38,19.5
Site_1,Site_1_Candidate_1,2025-07-07,12:00,57.16,32.83
Site_1,Site_1_Candidate_1,2025-07-07,12:15,54.49,13.89
Site_1,Site_1_Candidate_1,2025-07-07,12:30,79.25,8.1
Site_1,Site_1_Candidate_1,2025-07-07,12:45,76.69,31.56
Site_1,Site_1_Candidate_1,2025-07-07,13:00,84.06,14.57
Site_1,Site_1_Candidate_1,2025-07-07,13:15,56.39,12.75
Site_1,Site_1_Candidate_1,2025-07-07,13:30,69.15,20.29
Site_1,Site_1_Candidate_1,2025-07-07,13:45,84.94,46.62
Site_1,Site_1_Candidate_1,2025-07-07,14:00,66.95,12.99
Site_1,Site_1_Candidate_1,2025-07-07,14:15,73.61,36.22
Site_1,Site_1_Candidate_1,2025-07-07,14:30,93.54,12.22
Site_1,Site_1_Candidate_1,2025-07-07,14:45,77.28,18.79
Site_1,Site_1_Candidate_1,2025-07-07,15:00,97.98,27.28
Site_1,Site_1_Candidate_1,2025-07-07,15:15,56.08,36.08
Site_1,Site_1_Candidate_1,2025-07-07,15:30,60.31,38.32
Site_1,Site_1_Candidate_1,2025-07-07,15:45,59.68,24.0
Site_1,Site_1_Candidate_1,2025-07-07,16:00,93.19,15.62
Site_1,Site_1_Candidate_1,2025-07-07,16:15,50.65,44.69
Site_1,Site_1_Candidate_1,2025-07-07,16:30,59.53,2.69
Site_1,Site_1_Candidate_1,2025-07-07,16:45,71.32,7.67
Site_1,Site_1_Candidate_1,2025-07-07,17:00,84.5,25.21
Site_1,Site_1_Candidate_1,2025-07-07,17:15,65.4,6.15
Site_1,Site_1_Candidate_1,2025-07-07,17:30,73.25,14.44
Site_1,Site_1_Candidate_1,2025-07-06,09:00,71.14,48.8
Site_1,Site_1_Candidate_1,2025-07-06,09:15,51.5,13.55
Site_1,Site_1_Candidate_1,2025-07-06,09:30,78.91,44.47
Site_1,Site_1_Candidate_1,2025-07-06,09:45,73.17,45.85
Site_1,Site_1_Candidate_1,2025-07-06,10:00,70.54,3.46
Site_1,Site_1_Candidate_1,2025-07-06,10:15,67.27,36.69
Site_1,Site_1_Candidate_1,2025-07-06,10:30,78.13,7.39
Site_1,Site_1_Candidate_1,2025-07-06,10:45,99.44,20.64
Site_1,Site_1_Candidate_1,2025-07-06,11:00,77.49,1.14
Site_1,Site_1_Candidate_1,2025-07-06,11:15,60.79,11.97
Site_1,Site_1_Candidate_1,2025-07-06,11:30,57.29,39.41
Site_1,Site_1_Candidate_1,2025-07-06,11:45,90.53,46.8
Site_1,Site_1_Candidate_1,2025-07-06,12:00,98.84,8.14
Site_1,Site_1_Candidate_1,2025-07-06,12:15,83.39,41.36
Site_1,Site_1_Candidate_1,2025-07-06,12:30,75.05,47.44
Site_1,Site_1_Candidate_1,2025-07-06,12:45,83.7,37.96
Site_1,Site_1_Candidate_1,2025-07-06,13:00,75.93,14.0
Site_1,Site_1_Candidate_1,2025-07-06,13:15,59.43,13.59
Site_1,Site_1_Candidate_1,2025-07-06,13:30,99.65,47.96
Site_1,Site_1_Candidate_1,2025-07-06,13:45,81.03,21.56
Site_1,Site_1_Candidate_1,2025-07-06,14:00,92.3,15.63
Site_1,Site_1_Candidate_1,2025-07-06,14:15,67.57,22.31
Site_1,Site_1_Candidate_1,2025-07-06,14:30,58.83,11.75
Site_1,Site_1_Candidate_1,2025-07-06,14:45,96.17,4.54
Site_1,Site_1_Candidate_1,2025-07-06,15:00,51.4,38.08
Site_1,Site_1_Candidate_1,2025-07-06,15:15,70.3,18.73
Site_1,Site_1_Candidate_1,2025-07-06,15:30,61.34,21.99
Site_1,Site_1_Candidate_1,2025-07-06,15:45,67.43,42.01
Site_1,Site_1_Candidate_1,2025-07-06,16:00,77.88,22.11
Site_1,Site_1_Candidate_1,2025-07-06,16:15,88.53,11.02
Site_1,Site_1_Candidate_1,2025-07-06,16:30,87.08,1.06
Site_1,Site_1_Candidate_1,2025-07-06,16:45,57.17,25.47
Site_1,Site_1_Candidate_1,2025-07-06,17:00,83.12,45.36
Site_1,Site_1_Candidate_1,2025-07-06,17:15,74.29,23.3
Site_1,Site_1_Candidate_1,2025-07-06,17:30,55.47,21.11
Site_1,Site_1_Candidate_2,2025-07-15,09:00,57.2,46.13
Site_1,Site_1_Candidate_2,2025-07-15,09:15,65.73,14.95
Site_1,Site_1_Candidate_2,2025-07-15,09:30,68.87,0.09
Site_1,Site_1_Candidate_2,2025-07-15,09:45,66.24,28.24
Site_1,Site_1_Candidate_2,2025-07-15,10:00,93.89,41.71
Site_1,Site_1_Candidate_2,2025-07-15,10:15,57.86,31.8
Site_1,Site_1_Candidate_2,2025-07-15,10:30,76.75,13.1
Site_1,Site_1_Candidate_2,2025-07-15,10:45,54.15,32.79
Site_1,Site_1_Candidate_2,2025-07-15,11:00,79.56,25.7
Site_1,Site_1_Candidate_2,2025-07-15,11:15,51.44,28.28
Site_1,Site_1_Candidate_2,2025-07-15,11:30,75.7,16.82
Site_1,Site_1_Candidate_2,2025-07-15,11:45,95.9,36.12
Site_1,Site_1_Candidate_2,2025-07-15,12:00,59.8,17.96
Site_1,Site_1_Candidate_2,2025-07-15,12:15,71.51,45.2
Site_1,Site_1_Candidate_2,2025-07-15,12:30,59.69,31.2
Site_1,Site_1_Candidate_2,2025-07-15,12:45,96.74,36.96
Site_1,Site_1_Candidate_2,2025-07-15,13:00,80.95,10.84
Site_1,Site_1_Candidate_2,2025-07-15,13:15,51.26,43.0
Site_1,Site_1_Candidate_2,2025-07-15,13:30,76.72,25.82
Site_1,Site_1_Candidate_2,2025-07-15,13:45,69.39,24.49
Site_1,Site_1_Candidate_2,2025-07-15,14:00,84.37,46.5
Site_1,Site_1_Candidate_2,2025-07-15,14:15,92.47,25.81
Site_1,Site_1_Candidate_2,2025-07-15,14:30,66.01,31.94
Site_1,Site_1_Candidate_2,2025-07-15,14:45,63.13,29.74
Site_1,Site_1_Candidate_2,2025-07-15,15:00,70.54,49.22
Site_1,Site_1_Candidate_2,2025-07-15,15:15,68.71,12.33
Site_1,Site_1_Candidate_2,2025-07-15,15:30,57.4,10.77
Site_1,Site_1_Candidate_2,2025-07-15,15:45,60.8,35.88
Site_1,Site_1_Candidate_2,2025-07-15,16:00,53.72,1.91
Site_1,Site_1_Candidate_2,2025-07-15,16:15,57.75,12.25
Site_1,Site_1_Candidate_2,2025-07-15,16:30,58.78,12.33
Site_1,Site_1_Candidate_2,2025-07-15,16:45,89.21,21.77
Site_1,Site_1_Candidate_2,2025-07-15,17:00,68.66,14.14
Site_1,Site_1_Candidate_2,2025-07-15,17:15,84.24,25.08
Site_1,Site_1_Candidate_2,2025-07-15,17:30,50.59,7.76
Site_1,Site_1_Candidate_2,2025-07-14,09:00,93.08,11.6
Site_1,Site_1_Candidate_2,2025-07-14,09:15,62.33,49.62
